Saturday,15,February,2020,13:07:22
8D0 907 558 E,,1.8L R4/5VT MOTR HS D03,

,Group A:,'003,,,,Group B:,'025,,,,Group C:, Not Running
,,RPM,Voltage,Temperature,Temperature,,Time,Time,Time,Duty Cycle,,,,,
,TIME,,,,,TIME,,,,,TIME,,,,
Marker,STAMP, /min, V,°C,°C,STAMP, ms, ms, ms, %,STAMP,,,,
,0.01,1520,13.370,90.0,31.5,0.39,5.20,7.00,0.55,0.0,,,,,
,0.75,1480,13.510,90.0,31.5,1.14,6.80,5.90,4.70,99.6,,,,,
,1.52,1600,13.440,90.0,30.0,1.91,7.15,6.90,5.45,99.6,,,,,
,2.28,1720,13.510,88.5,27.0,2.66,7.30,7.20,5.90,99.6,,,,,
,3.03,1880,13.440,88.5,25.5,3.41,7.40,7.30,6.45,77.0,,,,,
,3.78,2000,13.440,88.5,24.0,4.16,7.40,7.35,6.45,72.3,,,,,
,4.53,2120,13.300,88.5,24.0,4.92,7.40,7.35,6.30,81.6,,,,,
,5.29,2280,13.510,88.5,22.5,5.67,7.35,7.30,6.15,76.2,,,,,
,6.04,2440,13.300,88.5,22.5,6.41,7.35,7.30,6.30,69.1,,,,,
,6.79,2600,13.440,88.5,22.5,7.16,7.35,7.30,6.30,62.9,,,,,
,7.53,2760,13.510,88.5,22.5,7.91,7.35,7.30,6.35,56.6,,,,,
,8.28,2880,13.440,88.5,22.5,8.65,7.35,7.30,6.60,52.7,,,,,
,9.02,3040,13.440,88.5,24.0,9.39,7.25,7.25,6.65,54.7,,,,,
,9.77,3200,13.510,88.5,24.0,10.16,7.20,7.15,6.60,58.6,,,,,
,10.54,3360,13.440,88.5,24.0,10.91,7.10,7.10,6.55,63.3,,,,,
,11.29,3520,13.440,88.5,24.0,11.68,7.05,7.00,6.45,68.0,,,,,
,12.06,3680,13.440,88.5,25.5,12.45,7.05,7.00,6.50,71.9,,,,,
,12.83,3840,13.370,90.0,25.5,13.20,7.05,7.00,6.50,76.2,,,,,
,13.58,4000,13.510,90.0,25.5,13.95,7.05,7.00,6.65,79.3,,,,,
,14.32,4160,13.510,90.0,27.0,14.70,7.05,7.00,6.80,82.0,,,,,
,15.07,4320,13.440,90.0,27.0,15.46,7.05,7.00,6.85,84.4,,,,,
,15.84,4440,13.370,90.0,28.5,16.21,7.05,7.00,6.80,88.3,,,,,
,16.58,4600,13.370,90.0,28.5,16.96,7.00,6.95,6.80,89.8,,,,,
,17.33,4760,13.440,90.0,30.0,17.70,7.00,6.95,6.90,91.4,,,,,
,18.08,4920,13.370,90.0,31.5,18.45,7.00,6.95,6.90,92.6,,,,,
,18.82,5080,13.300,90.0,33.0,19.21,6.95,6.90,6.95,91.4,,,,,
,19.57,5240,13.440,90.0,33.0,19.94,6.90,6.85,6.90,89.1,,,,,
,20.33,5360,13.440,90.0,34.5,20.71,6.85,6.80,6.85,85.9,,,,,
,21.10,5520,13.510,88.5,36.0,21.48,6.85,6.80,6.80,84.0,,,,,
,21.86,5640,13.300,88.5,36.0,22.25,6.75,6.70,6.75,82.4,,,,,
,22.62,5760,13.370,88.5,37.5,23.00,6.65,6.65,6.70,78.9,,,,,
,23.37,5880,13.370,88.5,37.5,23.75,6.65,6.60,6.60,77.3,,,,,
,24.14,6000,13.370,88.5,39.0,24.52,6.45,6.40,6.55,71.5,,,,,
,24.89,6120,13.440,88.5,40.5,25.28,6.30,6.30,6.50,69.5,,,,,
,25.68,6240,13.440,87.0,42.0,26.06,6.20,6.25,6.40,68.0,,,,,
,26.46,6320,13.440,87.0,42.0,26.85,6.15,6.15,6.65,64.8,,,,,
,27.25,6440,13.370,87.0,43.5,27.63,6.05,6.10,6.35,62.9,,,,,
,28.01,6520,13.510,87.0,43.5,28.40,6.05,6.00,6.50,59.0,,,,,
